昔話の題目（原題）,昔話の題目（改題）,収録日（YYYY-MM-DD）,話者符号,話者の出身地,昔話の掲載書籍名,掲載書籍の出版社,ファイル名
座頭の坊が井戸に入った話,座頭のお礼,1973-11-18,M001,登米市,永浦誠喜翁の昔話,日本放送出版協会,00_座頭の坊が井戸に入った話
牛になった和尚さん,,1973-11-18,M001,登米市,永浦誠喜翁の昔話,日本放送出版協会,01_牛になった和尚さん
折ればかり,,1973-11-18,M001,登米市,,,02_折ればかり
トラヤー，トラヤー,なむとらや,1973-11-18,M001,登米市,永浦誠喜翁の昔話,日本放送出版協会,03_トラヤー，トラヤー
所風(沢庵風呂),聟の挨拶,1973-11-18,M001,登米市,永浦誠喜翁の昔話,日本放送出版協会,04_所風(沢庵風呂)
所風(結付け枕),聟の挨拶,1973-11-18,M001,登米市,永浦誠喜翁の昔話,日本放送出版協会,05_所風(結付け枕)
所風(聟の挨拶),聟の挨拶,1973-11-18,M001,登米市,永浦誠喜翁の昔話,日本放送出版協会,06_所風(聟の挨拶)
夢のあぶ,夢のあぶ,1973-11-18,M001,登米市,永浦誠喜翁の昔話,日本放送出版協会,08_夢のあぶ
脂取り,油取り,1973-11-18,M001,登米市,永浦誠喜翁の昔話,日本放送出版協会,09_脂取り
飴餅は化物(鶴亀の歌変型),飴餅は化け物,1973-11-18,M001,登米市,永浦誠喜翁の昔話,日本放送出版協会,10_飴餅は化物(鶴亀の歌変型)
熟柿の糞,,1973-11-18,M001,登米市,,,11_熟柿の糞
団子聟,,1973-11-18,M001,登米市,,,12_団子聟
一つ覚え(物貰型),,1973-11-18,M001,登米市,,,13_一つ覚え(物貰型)
馬の尻に掛図,,1973-11-18,M001,登米市,,,15_馬の尻に掛図
バッケエ汁,,1973-11-18,M001,登米市,,,17_バッケエ汁
逃げた里芋,逃げた里芋,1973-11-18,M001,登米市,永浦誠喜翁の昔話,日本放送出版協会,18_逃げた里芋
しわごわ，しわごわ,すわごわ，すわごわ,1973-11-18,M001,登米市,永浦誠喜翁の昔話,日本放送出版協会,20_しわごわ，しわごわ
